Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
70.00;70.00;64.00;0.00;0.72;-0.14;1.00;5.00;0.34;2.65;0.23;2.40;0.00;-11.37
71.00;56.00;86.00;0.00;0.73;-0.14;1.00;5.00;0.22;2.35;0.21;2.08;0.00;-8.96
72.00;72.00;57.00;0.04;0.00;-2.87;1.00;5.00;0.31;2.05;0.24;1.97;0.00;-4.03
73.00;61.00;68.00;0.01;0.12;-0.92;1.00;5.00;0.29;1.85;0.27;1.71;0.00;-13.16
74.00;66.00;70.00;0.00;0.73;-0.14;1.00;5.00;0.25;2.55;0.21;2.12;0.00;-8.90
75.00;71.00;75.00;0.01;0.17;-0.76;1.00;5.00;0.28;2.30;0.25;2.01;0.00;-9.33
76.00;72.00;56.00;0.04;0.00;-2.74;1.00;5.00;0.34;2.30;0.22;1.97;0.00;-3.53
77.00;64.00;70.00;0.01;0.14;-0.84;1.00;5.00;0.25;2.10;0.26;2.43;0.00;-3.92
78.00;64.00;72.00;0.00;0.72;-0.14;1.00;5.00;0.30;2.10;0.29;2.11;0.00;-10.24
79.00;72.00;72.00;0.03;0.01;-2.00;1.00;5.00;0.26;2.45;0.16;2.12;0.00;-2.62
80.00;68.00;78.00;0.01;0.16;-0.79;1.00;5.00;0.25;2.35;0.17;1.86;0.01;-2.08
81.00;67.00;57.00;0.00;0.71;-0.15;1.00;5.00;0.27;2.05;0.25;2.07;0.00;-5.06
82.00;54.00;71.00;0.04;0.00;-5.34;1.00;5.00;0.34;2.75;0.25;1.97;0.00;-10.94
83.00;64.00;70.00;0.01;0.14;-0.87;1.00;5.00;0.25;2.00;0.23;1.78;0.00;-5.50
84.00;64.00;71.00;0.01;0.15;-0.81;1.00;5.00;0.29;2.05;0.27;1.93;0.00;-7.29
85.00;63.00;83.00;0.04;0.00;-4.57;1.00;5.00;0.21;1.85;0.17;1.70;0.00;-7.10
86.00;73.00;62.00;0.02;0.16;-0.79;1.00;5.00;0.29;2.50;0.23;2.07;0.00;-6.56
87.00;67.00;67.00;0.04;0.00;-5.61;1.00;5.00;0.36;2.50;0.25;1.77;0.00;-5.08
88.00;67.00;69.00;0.01;0.18;-0.75;1.00;5.00;0.30;2.60;0.23;2.09;0.00;-10.02
89.00;63.00;69.00;0.03;0.00;-2.56;1.00;5.00;0.35;1.85;0.31;1.80;0.00;-15.65
90.00;66.00;72.00;0.01;0.17;-0.78;1.00;5.00;0.25;2.40;0.20;1.93;0.00;-5.39
91.00;57.00;67.00;0.01;0.10;-1.00;1.00;5.00;0.29;2.35;0.22;2.45;0.00;-2.93
92.00;50.00;55.00;0.04;0.00;-4.45;1.00;5.00;0.26;2.40;0.19;1.73;0.00;-3.54
93.00;62.00;64.00;0.02;0.11;-0.97;1.00;5.00;0.37;3.05;0.26;2.40;0.00;-15.32
94.00;53.00;69.00;0.01;0.07;-1.13;1.00;5.00;0.31;2.50;0.27;2.47;0.00;-2.78
95.00;69.00;65.00;0.05;0.00;-5.58;1.00;5.00;0.52;3.40;0.21;1.98;0.00;-6.37
96.00;73.00;79.00;0.03;0.01;-1.89;1.00;5.00;0.20;1.85;0.19;1.81;0.00;-5.28
97.00;53.00;73.00;0.00;0.71;-0.15;1.00;5.00;0.29;2.55;0.24;2.46;0.00;-3.45
98.00;69.00;64.00;0.03;0.00;-2.77;1.00;5.00;0.26;2.20;0.18;2.01;0.00;-2.51
99.00;70.00;66.00;0.02;0.14;-0.86;1.00;5.00;0.39;2.05;0.33;1.86;0.00;-9.10
