"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"241","29_1_Composite.tif",0,0,1,0.8773,0.9016,0.7272,0.2354,0.625,0.625
"341","29_1_Composite.tif",0,1,0,0.3099,0.3081,0,0.0496,0.625,0.625
"242","29_2_Composite.tif",0,0,1,0.628,0.5965,0.2162,0.0968,0.6413,0.6413
"342","29_2_Composite.tif",0,1,0,0.4662,0.422,0.125,0.0907,0.6413,0.6413
"243","29_3_Composite.tif",0,0,1,0.3632,0.377,0.5,0.2097,0.2936,0.2936
"343","29_3_Composite.tif",0,1,0,0.1499,0.1702,0.1111,0.0711,0.2936,0.2936
"244","29_4_Composite.tif",0,0,1,0.7398,0.7624,0.3823,0.136,0.496,0.496
"344","29_4_Composite.tif",0,1,0,0.3621,0.3419,0.1666,0.0954,0.496,0.496
"245","29_5_Composite.tif",0,0,1,0.5673,0.5388,0.4509,0.1627,0.4895,0.4895
"345","29_5_Composite.tif",0,1,0,0.2114,0.2076,0.1,0.0989,0.4895,0.4895
"246","29_6_Composite.tif",0,0,1,0.7654,0.7475,0.5625,0.189,0.5784,0.5784
"346","29_6_Composite.tif",0,1,0,0.3292,0.3344,0.6666,0.168,0.5784,0.5784
"247","29_7_Composite.tif",0,0,1,0.6547,0.6479,0.2068,0.1133,0.5055,0.5055
"347","29_7_Composite.tif",0,1,0,0.3649,0.3625,0,0.0747,0.5055,0.5055
"248","29_8_Composite.tif",0,0,1,0.545,0.5958,0.3333,0.1275,0.4691,0.4691
"348","29_8_Composite.tif",0,1,0,0.3444,0.3223,0,0.0618,0.4691,0.4691
"249","29_9_Composite.tif",0,0,1,0.8243,0.82,0.6,0.1687,0.6868,0.6868
"349","29_9_Composite.tif",0,1,0,0.5562,0.5565,0.25,0.0935,0.6868,0.6868
"250","30_10_Composite.tif",0,0,1,0.5442,0.5653,0.4782,0.2343,0.4746,0.4746
"350","30_10_Composite.tif",0,1,0,0.1942,0.1865,0,0.0499,0.4746,0.4746
"251","30_1_Composite.tif",0,0,1,0.5634,0.5569,0.4444,0.1566,0.3937,0.3937
"351","30_1_Composite.tif",0,1,0,0.1879,0.1865,0,0.022,0.3937,0.3937
"252","30_2_Composite.tif",0,0,1,0.4111,0.4281,0.421,0.2046,0.3793,0.3793
"352","30_2_Composite.tif",0,1,0,0.0888,0.0889,0,0.0302,0.3793,0.3793
"253","30_3_Composite.tif",0,0,1,0.6095,0.6551,0.5161,0.2002,0.3993,0.3993
"353","30_3_Composite.tif",0,1,0,0.1292,0.1287,0.0588,0.0368,0.3993,0.3993
"254","30_4_Composite.tif",0,0,1,0.6653,0.656,0.5806,0.2063,0.5515,0.5515
"354","30_4_Composite.tif",0,1,0,0.2848,0.2761,0.05,0.0725,0.5515,0.5515
"255","30_5_Composite.tif",0,0,1,0.5333,0.572,0.32,0.135,0.3699,0.3699
"355","30_5_Composite.tif",0,1,0,0.1695,0.1798,0.1111,0.0727,0.3699,0.3699
"256","30_6_Composite.tif",0,0,1,0.5132,0.4698,0.6363,0.1769,0.4237,0.4237
"356","30_6_Composite.tif",0,1,0,0.0859,0.0901,0.0666,0.0494,0.4237,0.4237
"257","30_7_Composite.tif",0,0,1,0.9614,0.9567,0.9473,0.3586,0.6149,0.6149
"357","30_7_Composite.tif",0,1,0,0.0744,0.0731,0,0.0206,0.6149,0.6149
"258","30_8_Composite.tif",0,0,1,0.6209,0.6666,0.7222,0.3008,0.4475,0.4475
"358","30_8_Composite.tif",0,1,0,0.1082,0.1073,0,0.0212,0.4475,0.4475
"259","30_9_Composite.tif",0,0,1,0.6099,0.6805,0.6923,0.1962,0.4399,0.4399
"359","30_9_Composite.tif",0,1,0,0.1434,0.1528,0,0.0255,0.4399,0.4399
"260","31_10_Composite.tif",0,0,1,0.4952,0.5043,0.4705,0.1635,0.5326,0.5326
