"","x"
"xmin4","0.951785714285714"
"xmin5","1.05892857142857"
"xmin6","1.16607142857143"
"xmin7","1.27321428571429"
"xmin8","1.63035714285714"
"xmin9","1.7375"
"xmin10","1.84464285714286"
"xmin11","1.95178571428571"
"xmin12","2.05892857142857"
"xmin13","2.16607142857143"
"xmin14","2.27321428571429"
"xmin15","2.63035714285714"
"xmin16","2.7375"
"xmin17","2.84464285714286"
"xmin18","2.95178571428571"
"xmin19","3.05892857142857"
"xmin20","3.16607142857143"
"xmin21","3.27321428571429"
"xmin22","3.63035714285714"
"xmin23","3.7375"
"xmin24","3.84464285714286"
"xmin25","3.95178571428571"
"xmin26","4.05892857142857"
"xmin27","4.16607142857143"
"xmin28","4.27321428571429"
"xmin29","4.63035714285714"
"xmin30","4.7375"
"xmin31","4.84464285714286"
"xmin32","4.95178571428571"
"xmin33","5.05892857142857"
"xmin34","5.16607142857143"
"xmin35","5.27321428571429"
"xmin36","5.63035714285714"
"xmin37","5.7375"
"xmin38","5.84464285714286"
"xmin39","5.95178571428571"
"xmin40","6.05892857142857"
"xmin41","6.16607142857143"
"xmin42","6.27321428571429"
"xmax1","0.726785714285714"
"xmax2","0.833928571428571"
"xmax3","0.941071428571429"
"xmax4","1.04821428571429"
"xmax5","1.15535714285714"
"xmax6","1.2625"
"xmax7","1.36964285714286"
"xmax8","1.72678571428571"
"xmax9","1.83392857142857"
"xmax10","1.94107142857143"
"xmax11","2.04821428571429"
"xmax12","2.15535714285714"
"xmax13","2.2625"
"xmax14","2.36964285714286"
"xmax15","2.72678571428571"
"xmax16","2.83392857142857"
"xmax17","2.94107142857143"
"xmax18","3.04821428571429"
"xmax19","3.15535714285714"
"xmax20","3.2625"
"xmax21","3.36964285714286"
"xmax22","3.72678571428571"
"xmax23","3.83392857142857"
"xmax24","3.94107142857143"
"xmax25","4.04821428571429"
"xmax26","4.15535714285714"
"xmax27","4.2625"
"xmax28","4.36964285714286"
"xmax29","4.72678571428571"
"xmax30","4.83392857142857"
"xmax31","4.94107142857143"
"xmax32","5.04821428571429"
"xmax33","5.15535714285714"
"xmax34","5.2625"
"xmax35","5.36964285714286"
"xmax36","5.72678571428571"
"xmax37","5.83392857142857"
"xmax38","5.94107142857143"
"xmax39","6.04821428571429"
"xmax40","6.15535714285714"
"xmax41","6.2625"
"xmax42","6.36964285714286"
"weight1","1"
"weight2","1"
"weight3","1"
"weight4","1"
"weight5","1"
"weight6","1"
"weight7","1"
"weight8","1"
"weight9","1"
"weight10","1"
"weight11","1"
"weight12","1"
"weight13","1"
"weight14","1"
"weight15","1"
"weight16","1"
"weight17","1"
"weight18","1"
"weight19","1"
"weight20","1"
"weight21","1"
"weight22","1"
"weight23","1"
"weight24","1"
"weight25","1"
"weight26","1"
"weight27","1"
"weight28","1"
"weight29","1"
"weight30","1"
"weight31","1"
"weight32","1"
"weight33","1"
"weight34","1"
"weight35","1"
"weight36","1"
"weight37","1"
"weight38","1"
"weight39","1"
"weight40","1"
"weight41","1"
"weight42","1"
"colour1","grey20"
"colour2","grey20"
"colour3","grey20"
"colour4","grey20"
"colour5","grey20"
"colour6","grey20"
"colour7","grey20"
"colour8","grey20"
"colour9","grey20"
"colour10","grey20"
"colour11","grey20"
"colour12","grey20"
"colour13","grey20"
"colour14","grey20"
"colour15","grey20"
"colour16","grey20"
"colour17","grey20"
"colour18","grey20"
"colour19","grey20"
"colour20","grey20"
"colour21","grey20"
"colour22","grey20"
"colour23","grey20"
"colour24","grey20"
"colour25","grey20"
"colour26","grey20"
