"","Picture","method","value"
"174","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"175","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"176","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"177","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"178","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"179","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"180","Tom40_Cbp3","Coloc.Tesseler.Spearmans.B",-0.222146
"181","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"182","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"183","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"184","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"185","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"186","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"187","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"188","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"189","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"190","Tom40_Tom20","Coloc.Tesseler.Spearmans.B",0.505972
"191","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"192","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"193","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"194","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"195","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"196","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"197","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"198","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"199","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"200","Tom40_Tom40","Coloc.Tesseler.Spearmans.B",-0.0910465
"201","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"202","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"203","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"204","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"205","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"206","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"207","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"208","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"209","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"210","Tom40_Mrpl4","Coloc.Tesseler.Manders.A",0.448759
"211","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"212","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"213","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"214","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"215","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"216","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"217","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"218","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"219","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"220","Tom40_Cbp3","Coloc.Tesseler.Manders.A",0.195357
"221","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"222","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"223","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"224","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"225","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"226","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"227","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"228","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"229","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"230","Tom40_Tom20","Coloc.Tesseler.Manders.A",0.59886
"231","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"232","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"233","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"234","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"235","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"236","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
"237","Tom40_Tom40","Coloc.Tesseler.Manders.A",0.165721
