"","class","no_pic","t","OTC"
"254","2D",3,1065,1
"255","2D",3,1080,1
"256","2D",3,1095,1
"257","2D",3,1110,1
"258","2D",3,1125,1
"259","2D",3,1140,1
"260","2D",3,1155,1
"261","2D",3,1170,1
"262","2D",3,1185,1
"263","2D",3,1200,1
"264","2D",3,1215,1
"265","2D",3,1230,1
"266","2D",3,1245,1
"267","2D",3,1260,1
"268","2D",3,1275,1
"269","2D",3,1290,1
"270","2D",3,1305,1
"271","2D",3,1320,1
"272","2D",3,1335,1
"273","2D",3,1350,1
"274","2D",4,0,0.006118836
"275","2D",4,15,0.032205608
"276","2D",4,30,0.082522868
"277","2D",4,45,0.199267194
"278","2D",4,60,0.319039267
"279","2D",4,75,0.418701569
"280","2D",4,90,0.520342204
"281","2D",4,105,0.595895198
"282","2D",4,120,0.646032329
"283","2D",4,135,0.700185984
"284","2D",4,150,0.743890152
"285","2D",4,165,0.764008984
"286","2D",4,180,0.789253
"287","2D",4,195,0.821552158
"288","2D",4,210,0.853523675
"289","2D",4,225,0.889432986
"290","2D",4,240,0.918000455
"291","2D",4,255,0.946692492
"292","2D",4,270,0.970431177
"293","2D",4,285,0.984181387
"294","2D",4,300,0.989369176
"295","2D",4,315,0.993535129
"296","2D",4,330,0.99762555
"297","2D",4,345,0.999512181
"298","2D",4,360,0.999627122
"299","2D",4,375,0.999629336
"300","2D",4,390,0.999644851
"301","2D",4,405,0.999662956
"302","2D",4,420,0.999711913
"303","2D",4,435,0.999724982
"304","2D",4,450,0.999740447
"305","2D",4,465,0.999756331
"306","2D",4,480,0.999756614
"307","2D",4,495,0.999756883
"308","2D",4,510,0.999757159
"309","2D",4,525,0.999757445
"310","2D",4,540,0.999757688
"311","2D",4,555,0.999757958
"312","2D",4,570,0.999758201
"313","2D",4,585,0.999758465
"314","2D",4,600,0.999758661
"315","2D",4,615,0.999758839
"316","2D",4,630,0.999759006
"317","2D",4,645,0.999759165
"318","2D",4,660,0.999759314
"319","2D",4,675,0.999759429
"320","2D",4,690,0.999773515
"321","2D",4,705,0.99985853
"322","2D",4,720,0.999972798
"323","2D",4,735,0.999998284
"324","2D",4,750,0.999998308
"325","2D",4,765,0.999998327
"326","2D",4,780,0.999998337
"327","2D",4,795,0.999998342
"328","2D",4,810,1
"329","2D",4,825,1
"330","2D",4,840,1
"331","2D",4,855,1
"332","2D",4,870,1
"333","2D",4,885,1
"334","2D",4,900,1
"335","2D",4,915,1
"336","2D",4,930,1
"337","2D",4,945,1
"338","2D",4,960,1
