"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"366",40,0.02,0.27,0.21
"367",40,0.02,0.29,0.2
"368",40,0,0.34,0.21
"369",40,0.03,0.22,0.18
"370",40,0.03,0.15,0.1
"371",40,0.01,0.2,0.18
"372",40,0.03,0.29,0.17
"373",40,0.02,0.16,0.09
"374",40,0.02,0.23,0.23
"375",40,0,0.21,0.11
"376",40,0.02,0.51,0.17
"377",40,0.04,0.21,0.13
"378",40,0.03,0.31,0.19
"379",40,0,0.11,0.09
"380",40,0,0.24,0.18
"381",40,0,0.11,0.09
"382",40,0.02,0.27,0.26
"383",40,0.01,0.24,0.22
"384",40,0,0.26,0.26
"385",40,0,0.23,0.21
"386",40,0.02,0.25,0.21
"387",40,0.01,0.11,0.15
"388",40,0,0.09,0.05
"389",40,0.01,0.21,0.19
"390",40,0.02,0.33,0.21
"391",40,0.01,0.24,0.19
"392",40,0,0.15,0.18
"393",40,0.03,0.31,0.22
"394",40,0.02,0.23,0.15
"395",40,0,0.14,0.09
"396",40,0,0.17,0.15
"397",40,0,0.34,0.31
"398",40,0.03,0.24,0.13
"399",40,0.05,0.97,0.39
"400",40,0,0.22,0.22
"401",50,0.02,0.23,0.23
"402",50,0,0.23,0.22
"403",50,0.01,0.22,0.18
"404",50,0.03,0.36,0.24
"405",50,0,0.24,0.23
"406",50,0.01,0.24,0.19
"407",50,0.06,0.37,0.23
"408",50,0.02,0.37,0.19
"409",50,0.01,0.23,0.22
"410",50,0,0.26,0.28
"411",50,0.03,0.37,0.37
"412",50,0.03,0.39,0.3
"413",50,0.03,0.25,0.24
"414",50,0.03,0.31,0.21
"415",50,0,0.14,0.15
"416",50,0.01,0.24,0.23
"417",50,0.01,0.21,0.15
"418",50,0,0.27,0.26
"419",50,0.03,0.38,0.24
"420",50,0.01,0.37,0.26
"421",50,0.01,0.27,0.23
"422",50,0.03,0.35,0.3
"423",50,0,0.27,0.25
"424",50,0.01,0.23,0.2
"425",50,0.01,0.33,0.23
"426",50,0,0.21,0.24
"427",50,0,0.31,0.27
"428",50,0.02,0.25,0.23
"429",50,0,0.31,0.28
"430",50,0.02,0.27,0.21
"431",50,0.03,0.29,0.21
"432",50,0,0.15,0.2
"433",50,0,0.26,0.24
"434",50,0.01,0.3,0.28
"435",50,0,0.24,0.23
"436",50,0.01,0.17,0.14
"437",50,0,0.25,0.25
"438",50,0.01,0.25,0.21
"439",50,0,0.17,0.15
"440",50,0,0.24,0.23
"441",50,0,0.27,0.22
"442",50,0,0.19,0.19
"443",50,0.03,0.51,0.38
"444",50,0.05,0.33,0.2
"445",50,0.02,0.29,0.26
"446",50,0,0.27,0.26
"447",50,0.03,0.41,0.3
"448",50,0,0.34,0.29
"449",50,0,0.27,0.26
"450",50,0.03,0.3,0.25
"451",50,0,0.26,0.24
"452",50,0.02,0.25,0.25
"453",50,0.01,0.22,0.17
