"","class","no_pic","t","OTC"
"166","Tom40_Cbp3",2,1110,1
"167","Tom40_Cbp3",2,1125,1
"168","Tom40_Cbp3",2,1140,1
"169","Tom40_Cbp3",2,1155,1
"170","Tom40_Cbp3",2,1170,1
"171","Tom40_Cbp3",2,1185,1
"172","Tom40_Cbp3",2,1200,1
"173","Tom40_Cbp3",2,1215,1
"174","Tom40_Cbp3",2,1230,1
"175","Tom40_Cbp3",2,1245,1
"176","Tom40_Cbp3",2,1260,1
"177","Tom40_Cbp3",2,1275,1
"178","Tom40_Cbp3",2,1290,1
"179","Tom40_Cbp3",2,1305,1
"180","Tom40_Cbp3",2,1320,1
"181","Tom40_Cbp3",2,1335,1
"182","Tom40_Cbp3",2,1350,1
"183","Tom40_Cbp3",3,0,0.009483155
"184","Tom40_Cbp3",3,15,0.049211084
"185","Tom40_Cbp3",3,30,0.124021968
"186","Tom40_Cbp3",3,45,0.263356229
"187","Tom40_Cbp3",3,60,0.444660125
"188","Tom40_Cbp3",3,75,0.67792165
"189","Tom40_Cbp3",3,90,0.815715047
"190","Tom40_Cbp3",3,105,0.880718335
"191","Tom40_Cbp3",3,120,0.911919565
"192","Tom40_Cbp3",3,135,0.928564094
"193","Tom40_Cbp3",3,150,0.935260244
"194","Tom40_Cbp3",3,165,0.942610927
"195","Tom40_Cbp3",3,180,0.948747566
"196","Tom40_Cbp3",3,195,0.956280215
"197","Tom40_Cbp3",3,210,0.959448983
"198","Tom40_Cbp3",3,225,0.961770798
"199","Tom40_Cbp3",3,240,0.962680652
"200","Tom40_Cbp3",3,255,0.964172581
"201","Tom40_Cbp3",3,270,0.964834582
"202","Tom40_Cbp3",3,285,0.965905351
"203","Tom40_Cbp3",3,300,0.96695428
"204","Tom40_Cbp3",3,315,0.968547481
"205","Tom40_Cbp3",3,330,0.971403099
"206","Tom40_Cbp3",3,345,0.974441736
"207","Tom40_Cbp3",3,360,0.976919836
"208","Tom40_Cbp3",3,375,0.979377172
"209","Tom40_Cbp3",3,390,0.980937402
"210","Tom40_Cbp3",3,405,0.981538502
"211","Tom40_Cbp3",3,420,0.981922735
"212","Tom40_Cbp3",3,435,0.982483876
"213","Tom40_Cbp3",3,450,0.982681791
"214","Tom40_Cbp3",3,465,0.982975135
"215","Tom40_Cbp3",3,480,0.983316482
"216","Tom40_Cbp3",3,495,0.983492254
"217","Tom40_Cbp3",3,510,0.983836029
"218","Tom40_Cbp3",3,525,0.98431183
"219","Tom40_Cbp3",3,540,0.984413739
"220","Tom40_Cbp3",3,555,0.984456505
"221","Tom40_Cbp3",3,570,0.984542057
"222","Tom40_Cbp3",3,585,0.984669312
"223","Tom40_Cbp3",3,600,0.98499659
"224","Tom40_Cbp3",3,615,0.985175047
"225","Tom40_Cbp3",3,630,0.985189532
"226","Tom40_Cbp3",3,645,0.985218223
"227","Tom40_Cbp3",3,660,0.985303787
"228","Tom40_Cbp3",3,675,0.985346213
