Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
37.00;65.00;79.00;0.04;0.00;-4.76;1.00;5.00;0.46;2.70;0.34;2.40;0.00;-10.13
38.00;69.00;49.00;0.00;0.70;-0.16;1.00;5.00;0.46;2.05;0.48;2.31;0.00;-9.41
39.00;54.00;64.00;0.02;0.08;-1.07;1.00;5.00;0.43;1.95;0.40;1.72;0.00;-30.59
40.00;54.00;66.00;0.02;0.08;-1.08;1.00;5.00;0.36;2.10;0.29;1.88;0.00;-10.48
41.00;66.00;60.00;0.00;0.71;-0.15;1.00;5.00;0.42;2.05;0.40;1.95;0.00;-11.43
42.00;69.00;70.00;0.03;0.01;-2.24;1.00;5.00;0.56;2.25;0.39;1.74;0.00;-9.60
43.00;59.00;70.00;0.03;0.00;-3.13;1.00;5.00;0.42;2.40;0.35;2.33;0.00;-8.34
44.00;68.00;57.00;0.00;0.72;-0.14;1.00;5.00;0.51;2.10;0.45;2.33;0.00;-10.56
45.00;57.00;65.00;0.00;0.71;-0.15;1.00;5.00;0.35;2.15;0.39;2.46;0.00;-10.02
46.00;58.00;76.00;0.01;0.10;-0.99;1.00;5.00;0.40;2.15;0.40;2.33;0.00;-10.79
47.00;64.00;69.00;0.03;0.00;-2.47;1.00;5.00;0.44;2.10;0.36;1.95;0.00;-11.69
48.00;72.00;71.00;0.01;0.18;-0.73;1.00;5.00;0.47;2.05;0.41;1.88;0.00;-14.59
49.00;63.00;63.00;0.00;0.70;-0.15;1.00;5.00;0.45;2.65;0.40;2.53;0.00;-8.04
50.00;76.00;64.00;0.02;0.17;-0.78;1.00;5.00;0.53;2.50;0.36;1.92;0.00;-10.61
51.00;69.00;81.00;0.00;0.75;-0.12;1.00;5.00;0.45;2.10;0.39;2.01;0.00;-15.04
52.00;67.00;67.00;0.00;0.72;-0.14;1.00;5.00;0.36;2.05;0.34;1.95;0.00;-10.80
53.00;63.00;68.00;0.03;0.00;-2.66;1.00;5.00;0.54;2.30;0.42;1.88;0.00;-16.11
54.00;78.00;85.00;0.05;0.00;-5.68;1.00;5.00;0.61;2.45;0.49;2.36;0.00;-10.51
55.00;73.00;64.00;0.02;0.14;-0.86;1.00;5.00;0.47;2.40;0.38;2.28;0.00;-4.89
56.00;78.00;66.00;0.02;0.20;-0.70;1.00;5.00;0.52;2.00;0.42;1.83;0.00;-18.18
57.00;77.00;56.00;0.00;0.72;-0.14;1.00;5.00;0.42;2.30;0.43;2.53;0.00;-3.98
58.00;49.00;80.00;0.00;0.70;-0.16;1.00;5.00;0.30;2.10;0.28;1.92;0.00;-12.42
59.00;66.00;65.00;0.08;0.00;-15.38;1.00;5.00;0.53;2.40;0.42;1.82;0.00;-13.93
60.00;55.00;72.00;0.03;0.00;-2.91;1.00;5.00;0.36;2.15;0.28;1.95;0.00;-7.62
61.00;60.00;77.00;0.01;0.13;-0.90;1.00;5.00;0.50;2.25;0.39;1.90;0.00;-12.92
62.00;60.00;67.00;0.00;0.71;-0.15;1.00;5.00;0.43;2.40;0.39;2.13;0.00;-22.35
63.00;75.00;63.00;0.03;0.00;-2.40;1.00;5.00;0.42;2.00;0.45;2.30;0.00;-12.78
64.00;66.00;71.00;0.03;0.00;-2.45;1.00;5.00;0.37;2.05;0.31;2.36;0.00;-9.42
65.00;65.00;68.00;0.03;0.00;-2.60;1.00;5.00;0.55;2.75;0.34;2.38;0.00;-28.38
66.00;62.00;60.00;0.03;0.00;-3.32;1.00;5.00;0.45;2.00;0.37;1.97;0.00;-11.76
67.00;63.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.34;2.20;0.35;2.32;0.00;-6.60
68.00;62.00;58.00;0.03;0.00;-2.92;1.00;5.00;0.42;1.90;0.36;1.80;0.00;-16.39
69.00;63.00;59.00;0.02;0.10;-1.00;1.00;5.00;0.45;2.10;0.42;2.02;0.00;-15.76
70.00;72.00;73.00;0.00;0.74;-0.13;1.00;5.00;0.52;2.45;0.44;2.40;0.00;-12.15
71.00;72.00;54.00;0.00;0.70;-0.15;1.00;5.00;0.40;2.00;0.40;2.27;0.00;-11.91
72.00;64.00;71.00;0.03;0.00;-2.65;1.00;5.00;0.61;2.70;0.40;2.20;0.00;-10.34
73.00;65.00;60.00;0.05;0.00;-6.00;1.00;5.00;0.57;2.45;0.47;2.21;0.00;-12.66
74.00;59.00;75.00;0.01;0.13;-0.89;1.00;5.00;0.37;2.10;0.29;1.95;0.00;-9.45
75.00;75.00;72.00;0.01;0.18;-0.75;1.00;5.00;0.54;2.40;0.42;2.44;0.00;-12.84
76.00;63.00;77.00;0.00;0.73;-0.13;1.00;5.00;0.41;2.60;0.37;2.45;0.00;-15.62
77.00;76.00;73.00;0.00;0.75;-0.13;1.00;5.00;0.42;2.20;0.38;2.09;0.00;-17.55
78.00;68.00;69.00;0.01;0.16;-0.81;1.00;5.00;0.43;2.25;0.31;2.04;0.00;-9.02
79.00;63.00;60.00;0.00;0.70;-0.15;1.00;5.00;0.33;2.30;0.32;2.19;0.00;-19.48
80.00;61.00;66.00;0.00;0.71;-0.15;1.00;5.00;0.39;2.15;0.43;2.37;0.00;-13.22
81.00;64.00;68.00;0.03;0.00;-2.63;1.00;5.00;0.55;2.70;0.36;2.09;0.00;-22.51
82.00;58.00;72.00;0.04;0.00;-5.63;1.00;5.00;0.39;2.05;0.40;2.22;0.00;-11.98
83.00;67.00;75.00;0.03;0.01;-2.04;1.00;5.00;0.52;2.30;0.40;2.00;0.00;-18.34
84.00;58.00;61.00;0.03;0.00;-3.55;1.00;5.00;0.44;2.10;0.33;1.70;0.00;-9.67
85.00;61.00;57.00;0.04;0.00;-3.54;1.00;5.00;0.54;2.50;0.38;2.07;0.00;-18.20
86.00;68.00;63.00;0.03;0.00;-2.59;1.00;5.00;0.52;2.20;0.42;1.91;0.00;-12.93
87.00;69.00;55.00;0.04;0.00;-3.12;1.00;5.00;0.55;2.40;0.39;1.95;0.00;-12.26
88.00;53.00;74.00;0.04;0.00;-6.65;1.00;5.00;0.41;2.00;0.31;1.74;0.00;-12.39
89.00;61.00;79.00;0.01;0.14;-0.86;1.00;5.00;0.41;2.85;0.29;2.38;0.00;-8.95
90.00;78.00;71.00;0.00;0.74;-0.13;1.00;5.00;0.55;2.55;0.46;2.42;0.00;-19.53
91.00;82.00;69.00;0.03;0.01;-1.95;1.00;5.00;0.55;2.50;0.36;2.06;0.00;-12.38
92.00;51.00;73.00;0.03;0.00;-3.29;1.00;5.00;0.46;2.40;0.35;2.21;0.00;-6.55
93.00;74.00;62.00;0.05;0.00;-5.28;1.00;5.00;0.66;2.65;0.50;2.28;0.00;-15.81
94.00;54.00;64.00;0.00;0.70;-0.15;1.00;5.00;0.43;2.10;0.39;2.00;0.00;-15.55
95.00;54.00;58.00;0.05;0.00;-8.43;1.00;5.00;0.37;1.95;0.34;1.68;0.00;-8.11
96.00;59.00;66.00;0.03;0.00;-2.97;1.00;5.00;0.40;2.10;0.38;2.17;0.00;-7.56
97.00;62.00;70.00;0.03;0.00;-3.00;1.00;5.00;0.47;2.20;0.35;1.84;0.00;-10.58
98.00;59.00;61.00;0.00;0.70;-0.15;1.00;5.00;0.39;2.10;0.43;2.43;0.00;-8.62
99.00;63.00;71.00;0.03;0.01;-2.19;1.00;5.00;0.44;2.00;0.37;1.91;0.00;-18.38
