Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
24.00;75.00;74.00;0.01;0.22;-0.65;1.00;5.00;0.04;1.95;0.00;#ZAHL!;0.62;-0.21
25.00;59.00;66.00;0.02;0.08;-1.08;1.00;5.00;0.08;1.90;0.04;1.28;0.19;-0.71
26.00;45.00;72.00;0.00;0.68;-0.17;1.00;5.00;0.04;2.00;0.03;1.10;0.32;-0.50
27.00;78.00;66.00;0.02;0.15;-0.82;1.00;5.00;0.14;2.05;0.13;1.91;0.07;-1.17
28.00;80.00;73.00;0.00;0.75;-0.13;1.00;5.00;0.19;2.95;0.23;2.94;0.00;-3.24
29.00;72.00;68.00;0.01;0.18;-0.74;1.00;5.00;0.24;2.85;0.09;2.37;0.01;-2.07
30.00;69.00;75.00;0.03;0.01;-2.00;1.00;5.00;0.17;2.15;0.14;1.99;0.01;-2.13
31.00;78.00;62.00;0.05;0.00;-4.16;1.00;5.00;0.13;1.60;0.08;1.17;0.11;-0.94
32.00;68.00;65.00;0.02;0.15;-0.82;1.00;5.00;0.10;1.65;0.08;1.35;0.00;-2.89
33.00;63.00;69.00;0.00;0.72;-0.14;1.00;5.00;0.06;3.95;0.00;#ZAHL!;0.45;-0.35
34.00;60.00;71.00;0.00;0.72;-0.15;1.00;5.00;0.07;2.10;0.03;1.33;0.29;-0.54
35.00;70.00;60.00;0.00;0.72;-0.14;1.00;5.00;0.01;1.05;0.00;#ZAHL!;0.52;-0.29
36.00;77.00;73.00;0.03;0.02;-1.67;1.00;5.00;0.13;2.00;0.13;1.99;0.03;-1.49
37.00;73.00;65.00;0.02;0.16;-0.80;1.00;5.00;0.14;1.90;0.08;1.41;0.01;-2.13
38.00;66.00;60.00;0.02;0.09;-1.05;1.00;5.00;0.09;1.80;0.00;#ZAHL!;0.39;-0.41
39.00;68.00;66.00;0.02;0.14;-0.84;1.00;5.00;0.09;3.05;0.00;#ZAHL!;0.51;-0.29
40.00;74.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.15;1.95;0.10;1.38;0.00;-3.74
41.00;61.00;76.00;0.00;0.72;-0.14;1.00;5.00;0.06;2.00;0.04;1.21;0.14;-0.85
42.00;53.00;66.00;0.02;0.09;-1.03;1.00;5.00;0.16;2.85;0.08;2.37;0.01;-2.17
43.00;68.00;64.00;0.00;0.72;-0.14;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.81;-0.09
44.00;76.00;62.00;0.03;0.00;-2.36;1.00;5.00;0.20;1.95;0.16;1.91;0.01;-1.98
45.00;69.00;69.00;0.01;0.16;-0.79;1.00;5.00;0.12;1.35;0.12;1.31;0.00;-5.46
46.00;64.00;62.00;0.02;0.10;-1.00;1.00;5.00;0.13;2.75;0.08;2.27;0.04;-1.42
47.00;54.00;60.00;0.02;0.09;-1.07;1.00;5.00;0.06;1.70;0.04;1.72;0.28;-0.55
48.00;58.00;71.00;0.03;0.00;-2.55;1.00;5.00;0.22;3.20;0.11;2.56;0.00;-3.62
49.00;64.00;70.00;0.00;0.72;-0.14;1.00;5.00;0.00;0.00;0.00;#ZAHL!;0.61;-0.22
50.00;55.00;75.00;0.01;0.12;-0.92;1.00;5.00;0.13;2.15;0.11;1.96;0.05;-1.33
51.00;70.00;68.00;0.00;0.73;-0.14;1.00;5.00;0.09;2.05;0.12;2.52;0.00;-3.55
52.00;63.00;56.00;0.00;0.69;-0.16;1.00;5.00;0.15;2.65;0.12;2.38;0.00;-2.96
53.00;61.00;65.00;0.02;0.10;-1.00;1.00;5.00;0.07;2.45;0.05;2.30;0.25;-0.60
54.00;81.00;77.00;0.01;0.22;-0.65;1.00;5.00;0.20;2.95;0.12;2.96;0.18;-0.73
55.00;74.00;71.00;0.00;0.75;-0.13;1.00;5.00;0.14;2.00;0.13;1.79;0.00;-2.62
56.00;59.00;70.00;0.01;0.13;-0.88;1.00;5.00;0.09;2.85;0.10;2.34;0.00;-2.96
57.00;68.00;70.00;0.00;0.73;-0.13;1.00;5.00;0.21;2.70;0.15;2.41;0.00;-5.01
58.00;65.00;71.00;0.01;0.18;-0.73;1.00;5.00;0.14;2.90;0.05;2.32;0.27;-0.57
59.00;60.00;63.00;0.00;0.70;-0.16;1.00;5.00;0.12;2.50;0.05;2.44;0.25;-0.59
60.00;80.00;61.00;0.02;0.20;-0.70;1.00;5.00;0.03;2.05;0.00;#ZAHL!;0.55;-0.26
61.00;71.00;72.00;0.00;0.75;-0.13;1.00;5.00;0.08;2.05;0.04;1.29;0.24;-0.63
62.00;61.00;61.00;0.02;0.12;-0.93;1.00;5.00;0.07;4.05;0.00;#ZAHL!;0.66;-0.18
63.00;71.00;54.00;0.00;0.71;-0.15;1.00;5.00;0.19;2.10;0.19;1.93;0.00;-2.91
64.00;52.00;71.00;0.04;0.00;-7.30;1.00;5.00;0.12;1.65;0.11;1.53;0.04;-1.45
65.00;76.00;62.00;0.00;0.73;-0.14;1.00;5.00;0.04;2.20;0.00;#ZAHL!;0.46;-0.33
66.00;66.00;72.00;0.00;0.73;-0.14;1.00;5.00;0.12;2.60;0.10;2.45;0.00;-2.62
67.00;61.00;70.00;0.00;0.72;-0.14;1.00;5.00;0.04;1.45;0.04;1.47;0.22;-0.65
68.00;72.00;61.00;0.00;0.72;-0.14;1.00;5.00;0.05;2.20;0.00;#ZAHL!;0.30;-0.52
69.00;67.00;65.00;0.02;0.16;-0.80;1.00;5.00;0.12;1.65;0.07;1.03;0.05;-1.26
70.00;70.00;70.00;0.00;0.74;-0.13;1.00;5.00;0.07;2.05;0.04;1.35;0.17;-0.76
71.00;75.00;62.00;0.02;0.15;-0.82;1.00;5.00;0.19;2.95;0.14;2.88;0.13;-0.88
72.00;67.00;71.00;0.03;0.00;-2.45;1.00;5.00;0.20;2.30;0.13;1.63;0.08;-1.07
73.00;59.00;57.00;0.00;0.70;-0.16;1.00;5.00;0.05;2.05;0.07;2.22;0.09;-1.06
74.00;63.00;61.00;0.03;0.00;-3.30;1.00;5.00;0.07;1.45;0.02;0.00;0.32;-0.50
75.00;60.00;66.00;0.00;0.71;-0.15;1.00;5.00;0.16;2.05;0.15;1.84;0.01;-2.10
76.00;67.00;63.00;0.03;0.00;-2.95;1.00;5.00;0.24;2.00;0.18;1.93;0.00;-3.61
77.00;64.00;70.00;0.01;0.11;-0.94;1.00;5.00;0.08;2.35;0.05;2.56;0.27;-0.57
78.00;70.00;66.00;0.05;0.00;-5.49;1.00;5.00;0.03;0.95;0.00;#ZAHL!;0.47;-0.33
79.00;68.00;62.00;0.02;0.13;-0.90;1.00;5.00;0.11;1.80;0.07;1.38;0.01;-2.04
80.00;71.00;66.00;0.02;0.18;-0.75;1.00;5.00;0.20;2.10;0.18;1.92;0.00;-2.63
81.00;64.00;58.00;0.02;0.10;-1.01;1.00;5.00;0.16;2.75;0.07;3.34;0.16;-0.79
82.00;67.00;61.00;0.02;0.14;-0.87;1.00;5.00;0.19;2.15;0.20;1.98;0.00;-5.06
83.00;66.00;67.00;0.03;0.00;-2.85;1.00;5.00;0.25;2.20;0.17;1.95;0.00;-2.62
84.00;63.00;58.00;0.00;0.71;-0.15;1.00;5.00;0.08;3.05;0.08;2.54;0.07;-1.17
85.00;57.00;73.00;0.00;0.72;-0.14;1.00;5.00;0.11;1.85;0.09;1.51;0.00;-4.48
86.00;57.00;68.00;0.01;0.12;-0.93;1.00;5.00;0.08;2.05;0.04;1.38;0.22;-0.65
87.00;61.00;72.00;0.00;0.72;-0.14;1.00;5.00;0.14;2.40;0.13;2.10;0.00;-2.64
88.00;69.00;56.00;0.00;0.72;-0.14;1.00;5.00;0.13;2.25;0.15;2.25;0.00;-4.57
89.00;60.00;66.00;0.00;0.70;-0.15;1.00;5.00;0.08;1.85;0.04;1.39;0.11;-0.96
90.00;80.00;66.00;0.00;0.75;-0.13;1.00;5.00;0.22;3.60;0.05;2.27;0.27;-0.56
91.00;52.00;64.00;0.00;0.69;-0.16;1.00;5.00;0.09;2.20;0.16;3.07;0.12;-0.94
92.00;66.00;71.00;0.00;0.73;-0.14;1.00;5.00;0.15;2.75;0.13;2.95;0.04;-1.36
93.00;65.00;60.00;0.02;0.10;-1.01;1.00;5.00;0.09;2.25;0.00;#ZAHL!;0.51;-0.30
94.00;51.00;74.00;0.01;0.10;-0.99;1.00;5.00;0.09;1.95;0.10;2.09;0.05;-1.30
95.00;74.00;66.00;0.02;0.17;-0.76;1.00;5.00;0.19;2.95;0.14;2.95;0.07;-1.14
96.00;77.00;71.00;0.01;0.19;-0.71;1.00;5.00;0.17;2.75;0.10;2.35;0.00;-2.38
97.00;65.00;56.00;0.02;0.07;-1.13;1.00;5.00;0.05;2.00;0.00;#ZAHL!;0.34;-0.47
98.00;69.00;58.00;0.00;0.72;-0.14;1.00;5.00;0.20;4.15;0.00;#ZAHL!;0.32;-0.49
99.00;65.00;65.00;0.00;0.72;-0.14;1.00;5.00;0.03;2.05;0.05;2.46;0.24;-0.62
