Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
75.00;73.00;45.00;0.04;0.00;-3.25;1.00;5.00;0.55;2.05;0.44;1.84;0.00;-8.05
76.00;74.00;78.00;0.01;0.21;-0.68;1.00;5.00;0.31;2.05;0.33;2.41;0.00;-6.58
77.00;67.00;74.00;0.01;0.22;-0.67;1.00;5.00;0.59;2.60;0.52;2.55;0.00;-20.35
78.00;71.00;69.00;0.01;0.16;-0.79;1.00;5.00;0.44;2.25;0.35;2.21;0.00;-6.16
79.00;70.00;74.00;0.01;0.14;-0.84;1.00;5.00;0.40;2.40;0.38;2.44;0.00;-11.22
80.00;63.00;50.00;0.00;0.69;-0.16;1.00;5.00;0.44;2.40;0.35;2.03;0.00;-10.88
81.00;72.00;68.00;0.00;0.73;-0.14;1.00;5.00;0.52;2.75;0.35;2.46;0.00;-10.59
82.00;66.00;59.00;0.02;0.11;-0.96;1.00;5.00;0.50;2.60;0.42;2.50;0.00;-17.42
83.00;70.00;71.00;0.00;0.75;-0.13;1.00;5.00;0.44;2.05;0.42;2.03;0.00;-16.50
84.00;73.00;60.00;0.00;0.72;-0.14;1.00;5.00;0.46;2.40;0.37;2.40;0.00;-6.23
85.00;63.00;64.00;0.02;0.11;-0.96;1.00;5.00;0.40;2.30;0.36;2.06;0.00;-15.06
86.00;66.00;65.00;0.02;0.10;-1.00;1.00;5.00;0.49;2.05;0.42;1.83;0.00;-17.79
87.00;69.00;63.00;0.00;0.73;-0.14;1.00;5.00;0.36;2.15;0.37;2.42;0.00;-5.80
88.00;74.00;73.00;0.01;0.22;-0.65;1.00;5.00;0.54;2.40;0.36;2.08;0.00;-12.14
89.00;73.00;78.00;0.03;0.01;-1.87;1.00;5.00;0.55;2.25;0.39;1.86;0.00;-12.14
90.00;61.00;76.00;0.01;0.13;-0.88;1.00;5.00;0.31;2.10;0.30;1.96;0.00;-9.15
91.00;51.00;71.00;0.00;0.70;-0.16;1.00;5.00;0.34;2.20;0.38;2.50;0.00;-12.86
92.00;74.00;46.00;0.00;0.69;-0.16;1.00;5.00;0.46;2.55;0.44;2.40;0.00;-10.71
93.00;76.00;72.00;0.01;0.23;-0.63;1.00;5.00;0.48;2.10;0.43;2.03;0.00;-13.74
94.00;55.00;78.00;0.04;0.00;-5.47;1.00;5.00;0.41;2.75;0.30;1.90;0.00;-15.55
95.00;76.00;79.00;0.05;0.00;-6.36;1.00;5.00;0.50;2.25;0.42;1.88;0.00;-14.03
96.00;68.00;59.00;0.00;0.71;-0.15;1.00;5.00;0.53;2.40;0.51;2.46;0.00;-22.93
97.00;60.00;72.00;0.06;0.00;-9.33;1.00;5.00;0.47;2.05;0.36;1.78;0.00;-11.53
98.00;64.00;68.00;0.01;0.12;-0.91;1.00;5.00;0.32;2.25;0.33;2.52;0.00;-4.05
99.00;72.00;66.00;0.00;0.73;-0.14;1.00;5.00;0.46;2.05;0.44;1.97;0.00;-13.29
