Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
46.00;65.00;57.00;0.04;0.00;-3.00;1.00;5.00;0.33;2.40;0.21;2.05;0.00;-3.49
47.00;70.00;73.00;0.01;0.17;-0.76;1.00;5.00;0.24;2.75;0.13;2.04;0.01;-2.18
48.00;59.00;69.00;0.03;0.00;-2.87;1.00;5.00;0.23;2.05;0.16;1.77;0.00;-4.27
49.00;76.00;67.00;0.01;0.18;-0.75;1.00;5.00;0.23;2.60;0.14;1.99;0.01;-2.05
50.00;56.00;84.00;0.00;0.73;-0.14;1.00;5.00;0.12;2.85;0.10;2.40;0.00;-3.44
51.00;60.00;75.00;0.01;0.14;-0.86;1.00;5.00;0.19;2.50;0.19;2.59;0.01;-2.18
52.00;56.00;69.00;0.03;0.00;-3.22;1.00;5.00;0.20;2.00;0.16;1.95;0.00;-3.12
53.00;78.00;67.00;0.01;0.17;-0.77;1.00;5.00;0.16;1.90;0.12;1.41;0.00;-5.12
54.00;66.00;62.00;0.03;0.00;-2.97;1.00;5.00;0.60;4.90;0.19;2.47;0.02;-1.75
55.00;60.00;71.00;0.00;0.72;-0.15;1.00;5.00;0.14;2.00;0.14;1.76;0.00;-2.86
56.00;62.00;62.00;0.02;0.08;-1.10;1.00;5.00;0.18;2.20;0.16;2.33;0.00;-5.58
57.00;59.00;68.00;0.00;0.71;-0.15;1.00;5.00;0.12;2.95;0.09;2.39;0.01;-2.02
58.00;65.00;79.00;0.00;0.73;-0.14;1.00;5.00;0.18;2.45;0.16;2.37;0.00;-7.68
59.00;64.00;70.00;0.00;0.73;-0.14;1.00;5.00;0.22;2.05;0.25;2.39;0.00;-3.38
60.00;75.00;85.00;0.02;0.03;-1.53;1.00;5.00;0.22;2.05;0.19;1.97;0.00;-3.60
61.00;74.00;81.00;0.00;0.75;-0.12;1.00;5.00;0.26;2.10;0.22;2.04;0.00;-5.45
62.00;56.00;71.00;0.03;0.00;-2.55;1.00;5.00;0.18;1.90;0.13;1.87;0.00;-3.36
63.00;61.00;57.00;0.00;0.71;-0.15;1.00;5.00;0.22;2.10;0.22;1.91;0.00;-3.60
64.00;65.00;51.00;0.00;0.69;-0.16;1.00;5.00;0.21;2.05;0.28;2.57;0.00;-2.88
65.00;71.00;62.00;0.02;0.14;-0.86;1.00;5.00;0.27;2.55;0.21;2.58;0.07;-1.15
66.00;65.00;59.00;0.02;0.09;-1.05;1.00;5.00;0.29;2.25;0.20;2.01;0.00;-3.37
67.00;67.00;60.00;0.00;0.71;-0.15;1.00;5.00;0.34;2.90;0.21;2.95;0.00;-2.79
68.00;67.00;76.00;0.03;0.01;-2.23;1.00;5.00;0.22;2.10;0.18;1.99;0.00;-2.79
69.00;65.00;77.00;0.03;0.01;-1.94;1.00;5.00;0.15;1.85;0.10;1.33;0.00;-5.23
70.00;64.00;73.00;0.01;0.17;-0.77;1.00;5.00;0.20;2.05;0.18;1.87;0.00;-3.45
71.00;72.00;63.00;0.03;0.00;-2.48;1.00;5.00;0.29;2.55;0.17;2.13;0.00;-3.17
72.00;63.00;66.00;0.02;0.12;-0.93;1.00;5.00;0.16;1.85;0.09;1.25;0.00;-3.50
73.00;69.00;61.00;0.02;0.12;-0.90;1.00;5.00;0.23;2.00;0.23;1.91;0.00;-5.11
74.00;61.00;57.00;0.00;0.68;-0.17;1.00;5.00;0.21;2.85;0.11;2.40;0.00;-2.45
75.00;74.00;64.00;0.02;0.18;-0.75;1.00;5.00;0.51;4.10;0.17;2.30;0.00;-5.81
76.00;70.00;73.00;0.04;0.00;-4.93;1.00;5.00;0.21;2.60;0.13;1.99;0.00;-2.46
77.00;67.00;76.00;0.03;0.01;-2.10;1.00;5.00;0.31;2.75;0.19;2.27;0.00;-8.73
78.00;63.00;67.00;0.00;0.72;-0.14;1.00;5.00;0.11;2.95;0.09;2.41;0.01;-1.92
79.00;75.00;68.00;0.00;0.74;-0.13;1.00;5.00;0.24;2.85;0.18;2.39;0.00;-6.92
80.00;67.00;65.00;0.00;0.72;-0.14;1.00;5.00;0.11;2.95;0.09;2.37;0.01;-1.93
81.00;72.00;66.00;0.02;0.15;-0.83;1.00;5.00;0.27;1.95;0.26;1.83;0.00;-9.35
82.00;62.00;75.00;0.01;0.15;-0.81;1.00;5.00;0.24;2.70;0.22;2.74;0.00;-5.98
83.00;69.00;64.00;0.00;0.71;-0.15;1.00;5.00;0.26;2.10;0.26;1.95;0.00;-6.30
84.00;59.00;67.00;0.00;0.70;-0.15;1.00;5.00;0.23;2.25;0.21;2.12;0.00;-5.36
85.00;76.00;63.00;0.02;0.17;-0.78;1.00;5.00;0.25;2.25;0.21;2.48;0.00;-8.00
86.00;59.00;71.00;0.01;0.11;-0.98;1.00;5.00;0.11;2.05;0.15;2.75;0.00;-2.60
87.00;58.00;61.00;0.00;0.70;-0.15;1.00;5.00;0.09;2.05;0.05;1.41;0.13;-0.90
88.00;60.00;73.00;0.01;0.11;-0.95;1.00;5.00;0.21;1.85;0.19;1.75;0.00;-8.46
89.00;73.00;58.00;0.02;0.14;-0.86;1.00;5.00;0.33;2.55;0.21;2.14;0.00;-4.85
90.00;71.00;75.00;0.01;0.19;-0.73;1.00;5.00;0.24;1.80;0.19;1.81;0.00;-6.56
91.00;54.00;81.00;0.00;0.72;-0.14;1.00;5.00;0.15;2.10;0.18;2.54;0.01;-2.25
92.00;66.00;72.00;0.03;0.00;-2.54;1.00;5.00;0.31;2.85;0.22;2.87;0.00;-4.93
93.00;62.00;82.00;0.02;0.01;-2.25;1.00;5.00;0.23;1.85;0.15;1.30;0.00;-11.83
94.00;59.00;68.00;0.00;0.71;-0.15;1.00;5.00;0.14;1.95;0.09;1.58;0.00;-3.84
95.00;59.00;63.00;0.00;0.70;-0.16;1.00;5.00;0.17;2.05;0.15;1.89;0.01;-2.19
96.00;70.00;69.00;0.00;0.72;-0.14;1.00;5.00;0.34;2.60;0.31;2.51;0.00;-6.81
97.00;62.00;61.00;0.03;0.00;-3.40;1.00;5.00;0.24;2.65;0.13;2.33;0.00;-4.07
98.00;67.00;57.00;0.05;0.00;-6.83;1.00;5.00;0.97;4.75;0.39;2.47;0.00;-4.75
99.00;68.00;67.00;0.00;0.72;-0.14;1.00;5.00;0.22;2.00;0.22;1.84;0.00;-5.26
