Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
88.00;67.00;58.00;0.00;0.72;-0.15;1.00;5.00;0.17;1.95;0.16;1.80;0.00;-4.78
89.00;67.00;75.00;0.00;0.73;-0.14;1.00;5.00;0.16;2.05;0.14;1.89;0.02;-1.80
90.00;65.00;73.00;0.01;0.13;-0.88;1.00;5.00;0.15;2.35;0.12;2.31;0.00;-3.83
91.00;63.00;65.00;0.00;0.70;-0.15;1.00;5.00;0.10;2.40;0.07;2.39;0.04;-1.41
92.00;59.00;69.00;0.00;0.73;-0.14;1.00;5.00;0.16;1.95;0.21;2.40;0.00;-8.35
93.00;59.00;67.00;0.00;0.71;-0.15;1.00;5.00;0.23;2.65;0.16;2.10;0.00;-4.03
94.00;54.00;72.00;0.00;0.70;-0.15;1.00;5.00;0.19;2.45;0.16;1.88;0.00;-4.36
95.00;69.00;76.00;0.00;0.74;-0.13;1.00;5.00;0.22;2.10;0.22;2.07;0.00;-6.93
96.00;79.00;74.00;0.01;0.22;-0.65;1.00;5.00;0.17;2.05;0.18;2.03;0.00;-3.55
97.00;72.00;83.00;0.00;0.76;-0.12;1.00;5.00;0.26;2.10;0.25;2.12;0.00;-8.35
98.00;72.00;79.00;0.03;0.02;-1.79;1.00;5.00;0.14;2.10;0.12;2.03;0.02;-1.63
99.00;64.00;82.00;0.02;0.01;-2.06;1.00;5.00;0.18;2.25;0.16;2.05;0.00;-4.27
