Time;Nb detections 1;Nb detections 2;% of coloc. (% 1 inside 2);p-value (1 inside 2);log p-value (% 1 inside 2);Step Ripley;r max Ripley;% of 1 coloc. with 2 (fit);Mean coloc. distance (fit);% of 1 coloc. with 2 (SODA);Mean coloc. distance (SODA);p-value (SODA);log p-value (SODA)
29.00;63.00;71.00;0.03;0.00;-2.61;1.00;5.00;0.55;2.20;0.42;1.81;0.00;-13.71
30.00;72.00;74.00;0.00;0.75;-0.12;1.00;5.00;0.53;2.05;0.48;2.02;0.00;-19.26
31.00;63.00;61.00;0.00;0.70;-0.15;1.00;5.00;0.39;1.95;0.34;1.81;0.00;-21.53
32.00;51.00;63.00;0.02;0.05;-1.32;1.00;5.00;0.30;2.20;0.24;2.05;0.00;-5.68
33.00;61.00;57.00;0.02;0.09;-1.06;1.00;5.00;0.45;2.20;0.43;2.45;0.00;-7.87
34.00;63.00;68.00;0.01;0.14;-0.86;1.00;5.00;0.46;2.05;0.46;2.31;0.00;-16.66
35.00;70.00;64.00;0.00;0.72;-0.14;1.00;5.00;0.61;2.35;0.52;2.10;0.00;-34.81
36.00;70.00;63.00;0.00;0.74;-0.13;1.00;5.00;0.46;2.10;0.42;2.06;0.00;-15.37
37.00;55.00;68.00;0.01;0.09;-1.06;1.00;5.00;0.35;2.15;0.29;1.96;0.00;-8.61
38.00;62.00;67.00;0.01;0.12;-0.90;1.00;5.00;0.51;2.05;0.44;1.88;0.00;-12.41
39.00;63.00;72.00;0.04;0.00;-5.40;1.00;5.00;0.55;2.20;0.42;1.83;0.00;-14.89
40.00;52.00;63.00;0.00;0.69;-0.16;1.00;5.00;0.32;2.05;0.38;2.44;0.00;-6.40
41.00;71.00;70.00;0.03;0.01;-2.12;1.00;5.00;0.52;2.00;0.43;1.82;0.00;-19.02
42.00;69.00;60.00;0.05;0.00;-5.47;1.00;5.00;0.66;2.15;0.54;2.03;0.00;-20.04
43.00;49.00;77.00;0.00;0.70;-0.16;1.00;5.00;0.28;2.00;0.25;1.85;0.00;-13.17
44.00;59.00;60.00;0.02;0.08;-1.08;1.00;5.00;0.39;2.05;0.43;2.40;0.00;-8.50
45.00;55.00;69.00;0.00;0.70;-0.16;1.00;5.00;0.43;2.45;0.42;2.47;0.00;-18.32
46.00;75.00;70.00;0.03;0.01;-2.12;1.00;5.00;0.71;2.30;0.61;2.27;0.00;-19.89
47.00;62.00;60.00;0.00;0.70;-0.16;1.00;5.00;0.45;2.10;0.47;2.32;0.00;-11.96
48.00;69.00;65.00;0.00;0.73;-0.14;1.00;5.00;0.51;2.45;0.39;1.98;0.00;-20.70
49.00;75.00;53.00;0.02;0.12;-0.91;1.00;5.00;0.41;2.20;0.31;1.88;0.00;-5.18
50.00;70.00;68.00;0.03;0.01;-2.02;1.00;5.00;0.70;2.55;0.48;2.13;0.00;-30.15
51.00;63.00;69.00;0.04;0.00;-5.17;1.00;5.00;0.54;2.15;0.51;2.10;0.00;-35.55
52.00;56.00;83.00;0.01;0.12;-0.92;1.00;5.00;0.48;2.25;0.39;1.87;0.00;-20.08
53.00;67.00;75.00;0.03;0.01;-2.11;1.00;5.00;0.67;2.50;0.53;2.18;0.00;-25.14
54.00;53.00;73.00;0.03;0.00;-3.14;1.00;5.00;0.48;2.60;0.38;2.26;0.00;-13.21
55.00;73.00;84.00;0.00;0.75;-0.13;1.00;5.00;0.51;2.05;0.51;2.26;0.00;-15.61
56.00;65.00;74.00;0.04;0.00;-4.51;1.00;5.00;0.57;2.40;0.46;2.23;0.00;-11.87
57.00;57.00;66.00;0.02;0.10;-0.99;1.00;5.00;0.46;2.20;0.49;2.46;0.00;-9.59
58.00;74.00;69.00;0.03;0.01;-2.03;1.00;5.00;0.65;2.35;0.55;2.37;0.00;-11.06
59.00;58.00;57.00;0.02;0.08;-1.08;1.00;5.00;0.46;2.25;0.40;1.97;0.00;-15.68
60.00;65.00;62.00;0.02;0.10;-0.98;1.00;5.00;0.49;2.20;0.40;1.99;0.00;-13.38
61.00;74.00;61.00;0.00;0.73;-0.14;1.00;5.00;0.50;2.05;0.56;2.49;0.00;-13.94
62.00;60.00;63.00;0.00;0.70;-0.15;1.00;5.00;0.38;2.05;0.34;1.99;0.00;-10.73
63.00;71.00;52.00;0.06;0.00;-6.44;1.00;5.00;0.67;2.75;0.43;2.31;0.00;-3.70
64.00;59.00;59.00;0.03;0.00;-3.56;1.00;5.00;0.56;2.30;0.43;1.96;0.00;-15.58
65.00;67.00;71.00;0.01;0.15;-0.83;1.00;5.00;0.55;2.30;0.45;2.00;0.00;-24.26
66.00;71.00;62.00;0.02;0.15;-0.83;1.00;5.00;0.60;2.30;0.55;2.39;0.00;-16.51
67.00;63.00;64.00;0.05;0.00;-6.29;1.00;5.00;0.54;1.85;0.49;1.63;0.00;-28.08
68.00;54.00;65.00;0.02;0.08;-1.09;1.00;5.00;0.50;2.45;0.38;2.17;0.00;-23.22
69.00;77.00;56.00;0.00;0.73;-0.14;1.00;5.00;0.67;2.40;0.63;2.43;0.00;-18.18
70.00;75.00;76.00;0.03;0.01;-1.99;1.00;5.00;0.57;2.25;0.45;1.99;0.00;-18.73
71.00;73.00;73.00;0.04;0.00;-4.30;1.00;5.00;0.61;2.35;0.45;1.88;0.00;-14.07
72.00;53.00;57.00;0.02;0.05;-1.31;1.00;5.00;0.48;2.30;0.47;2.31;0.00;-12.31
73.00;65.00;64.00;0.05;0.00;-4.88;1.00;5.00;0.65;2.30;0.47;1.87;0.00;-15.72
74.00;54.00;69.00;0.00;0.72;-0.15;1.00;5.00;0.41;2.05;0.45;2.35;0.00;-16.23
75.00;71.00;61.00;0.07;0.00;-9.61;1.00;5.00;0.65;2.45;0.56;2.25;0.00;-17.30
76.00;76.00;58.00;0.05;0.00;-5.15;1.00;5.00;0.57;2.10;0.46;1.89;0.00;-13.58
77.00;57.00;73.00;0.01;0.13;-0.87;1.00;5.00;0.48;2.05;0.44;1.96;0.00;-21.84
78.00;67.00;72.00;0.01;0.14;-0.86;1.00;5.00;0.63;2.40;0.50;2.34;0.00;-21.95
79.00;53.00;65.00;0.00;0.69;-0.16;1.00;5.00;0.41;2.10;0.35;2.03;0.00;-13.90
80.00;65.00;69.00;0.03;0.00;-2.59;1.00;5.00;0.62;2.40;0.37;1.98;0.00;-12.94
81.00;70.00;61.00;0.05;0.00;-5.69;1.00;5.00;0.71;2.25;0.53;1.98;0.00;-18.18
82.00;63.00;57.00;0.02;0.10;-1.01;1.00;5.00;0.56;2.35;0.49;2.33;0.00;-12.47
83.00;65.00;75.00;0.01;0.19;-0.73;1.00;5.00;0.51;2.25;0.42;2.09;0.00;-19.53
84.00;70.00;68.00;0.03;0.00;-2.45;1.00;5.00;0.50;2.00;0.50;2.40;0.00;-16.48
85.00;69.00;68.00;0.03;0.00;-2.45;1.00;5.00;0.59;2.35;0.45;1.96;0.00;-19.24
86.00;64.00;62.00;0.02;0.10;-0.99;1.00;5.00;0.67;2.50;0.44;2.05;0.00;-18.81
87.00;68.00;61.00;0.00;0.71;-0.15;1.00;5.00;0.63;2.30;0.48;2.09;0.00;-17.84
88.00;68.00;64.00;0.00;0.72;-0.14;1.00;5.00;0.54;2.05;0.48;1.96;0.00;-18.04
89.00;67.00;55.00;0.05;0.00;-6.21;1.00;5.00;0.68;2.40;0.46;1.82;0.00;-12.98
90.00;79.00;65.00;0.03;0.01;-2.12;1.00;5.00;0.70;2.60;0.51;2.37;0.00;-11.43
91.00;75.00;64.00;0.02;0.15;-0.82;1.00;5.00;0.47;2.05;0.54;2.53;0.00;-9.43
92.00;71.00;64.00;0.02;0.17;-0.77;1.00;5.00;0.48;2.40;0.46;2.49;0.00;-11.64
93.00;68.00;60.00;0.02;0.14;-0.86;1.00;5.00;0.60;2.55;0.39;1.86;0.00;-10.54
94.00;60.00;68.00;0.00;0.72;-0.14;1.00;5.00;0.43;2.15;0.46;2.34;0.00;-20.41
95.00;58.00;61.00;0.00;0.70;-0.15;1.00;5.00;0.53;2.40;0.46;2.37;0.00;-20.24
96.00;58.00;72.00;0.01;0.13;-0.87;1.00;5.00;0.46;2.05;0.45;2.27;0.00;-19.29
97.00;76.00;72.00;0.03;0.01;-2.15;1.00;5.00;0.51;2.40;0.45;2.45;0.00;-15.99
98.00;70.00;78.00;0.03;0.01;-2.10;1.00;5.00;0.51;2.55;0.41;2.48;0.00;-5.81
99.00;68.00;63.00;0.02;0.13;-0.88;1.00;5.00;0.61;2.20;0.56;2.30;0.00;-15.13
