"","FileName","Frame","Channel","ChannelColoc","ColocSignalBased","ColocSizeBased","ColocObjectsNumber","MeanIntensity","PearsonCorr","PearsonCorrMasked"
"277","37_7_Composite.tif",0,0,1,0.2006,0.1997,0,0.0222,0.5744,0.5744
"377","37_7_Composite.tif",0,1,0,0.8365,0.8117,0.8076,0.2858,0.5744,0.5744
"278","37_8_Composite.tif",0,0,1,0.2212,0.2165,0,0.0465,0.5399,0.5399
"378","37_8_Composite.tif",0,1,0,0.8185,0.8276,0.8709,0.2474,0.5399,0.5399
"279","37_9_Composite.tif",0,0,1,0.2246,0.2005,0.0333,0.0275,0.5155,0.5155
"379","37_9_Composite.tif",0,1,0,0.7062,0.7159,0.4871,0.2555,0.5155,0.5155
"280","38_10_Composite.tif",0,0,1,0.3319,0.3239,0.0476,0.084,0.5021,0.5021
"380","38_10_Composite.tif",0,1,0,0.3853,0.4031,0.3333,0.1372,0.5021,0.5021
"281","38_11_Composite.tif",0,0,1,0.3271,0.3134,0.1081,0.0866,0.5488,0.5488
"381","38_11_Composite.tif",0,1,0,0.5804,0.5524,0.3913,0.1626,0.5488,0.5488
"282","38_12_Composite.tif",0,0,1,0.4128,0.3987,0.1818,0.1128,0.6379,0.6379
"382","38_12_Composite.tif",0,1,0,0.6012,0.5374,0.3,0.1368,0.6379,0.6379
"283","38_13_Composite.tif",0,0,1,0.454,0.4473,0.0869,0.0783,0.6164,0.6164
"383","38_13_Composite.tif",0,1,0,0.601,0.571,0.3888,0.1203,0.6164,0.6164
"284","38_14_Composite.tif",0,0,1,0.271,0.2721,0,0.0682,0.6405,0.6405
"384","38_14_Composite.tif",0,1,0,0.6267,0.55,0.3529,0.1344,0.6405,0.6405
"285","38_15_Composite.tif",0,0,1,0.4555,0.4575,0.2666,0.1063,0.6054,0.6054
"385","38_15_Composite.tif",0,1,0,0.5124,0.4944,0.3125,0.1245,0.6054,0.6054
"286","38_16_Composite.tif",0,0,1,0.3308,0.3192,0.0937,0.0597,0.5194,0.5194
"386","38_16_Composite.tif",0,1,0,0.531,0.5123,0.3076,0.1315,0.5194,0.5194
"287","38_17_Composite.tif",0,0,1,0.398,0.3641,0.1428,0.0823,0.6222,0.6222
"387","38_17_Composite.tif",0,1,0,0.56,0.4803,0.2307,0.1018,0.6222,0.6222
"288","38_18_Composite.tif",0,0,1,0.284,0.2755,0.075,0.0642,0.4376,0.4376
"388","38_18_Composite.tif",0,1,0,0.3392,0.3295,0.1794,0.1003,0.4376,0.4376
"289","38_19_Composite.tif",0,0,1,0.462,0.4666,0.1818,0.077,0.6433,0.6433
"389","38_19_Composite.tif",0,1,0,0.7672,0.7388,0.5238,0.1738,0.6433,0.6433
"290","38_1_Composite.tif",0,0,1,0.2809,0.264,0.0689,0.0916,0.4855,0.4855
"390","38_1_Composite.tif",0,1,0,0.3765,0.3234,0.2,0.1036,0.4855,0.4855
"291","38_20_Composite.tif",0,0,1,0.4106,0.3966,0.0357,0.0731,0.6204,0.6204
"391","38_20_Composite.tif",0,1,0,0.6189,0.5959,0.3421,0.1288,0.6204,0.6204
"292","38_2_Composite.tif",0,0,1,0.3255,0.3007,0.1052,0.076,0.5047,0.5047
"392","38_2_Composite.tif",0,1,0,0.427,0.3832,0.2272,0.1113,0.5047,0.5047
"293","38_3_Composite.tif",0,0,1,0.3816,0.3548,0.1,0.0878,0.5952,0.5952
"393","38_3_Composite.tif",0,1,0,0.5197,0.469,0.25,0.1164,0.5952,0.5952
"294","38_4_Composite.tif",0,0,1,0.2921,0.2822,0.2222,0.1079,0.4316,0.4316
